,artist.inverted,track,week,rank
0,Destiny's Child,Independent Women Part I,2,63.0
1,Destiny's Child,Independent Women Part I,3,49.0
2,Destiny's Child,Independent Women Part I,4,33.0
3,Destiny's Child,Independent Women Part I,5,23.0
4,Destiny's Child,Independent Women Part I,6,15.0
5,Destiny's Child,Independent Women Part I,7,7.0
6,Destiny's Child,Independent Women Part I,8,5.0
7,Destiny's Child,Independent Women Part I,9,1.0
8,Destiny's Child,Independent Women Part I,10,1.0
9,Santana,"Maria, Maria",2,8.0
10,Santana,"Maria, Maria",3,6.0
11,Santana,"Maria, Maria",4,5.0
12,Santana,"Maria, Maria",5,2.0
13,Santana,"Maria, Maria",6,3.0
14,Santana,"Maria, Maria",7,2.0
15,Santana,"Maria, Maria",8,2.0
16,Santana,"Maria, Maria",9,1.0
17,Santana,"Maria, Maria",10,1.0
18,Savage Garden,I Knew I Loved You,2,48.0
19,Savage Garden,I Knew I Loved You,3,43.0
20,Savage Garden,I Knew I Loved You,4,31.0
21,Savage Garden,I Knew I Loved You,5,20.0
22,Savage Garden,I Knew I Loved You,6,13.0
23,Savage Garden,I Knew I Loved You,7,7.0
24,Savage Garden,I Knew I Loved You,8,6.0
25,Savage Garden,I Knew I Loved You,9,4.0
26,Savage Garden,I Knew I Loved You,10,4.0
27,Madonna,Music,2,23.0
28,Madonna,Music,3,18.0
29,Madonna,Music,4,14.0
30,Madonna,Music,5,2.0
31,Madonna,Music,6,1.0
32,Madonna,Music,7,1.0
33,Madonna,Music,8,1.0
34,Madonna,Music,9,1.0
35,Madonna,Music,10,2.0
36,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2,47.0
37,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3,45.0
38,"Aguilera, Christina",Come On Over Baby (All I Want Is You),4,29.0
39,"Aguilera, Christina",Come On Over Baby (All I Want Is You),5,23.0
40,"Aguilera, Christina",Come On Over Baby (All I Want Is You),6,18.0
41,"Aguilera, Christina",Come On Over Baby (All I Want Is You),7,11.0
42,"Aguilera, Christina",Come On Over Baby (All I Want Is You),8,9.0
43,"Aguilera, Christina",Come On Over Baby (All I Want Is You),9,9.0
44,"Aguilera, Christina",Come On Over Baby (All I Want Is You),10,11.0
45,Janet,Doesn't Really Matter,2,52.0
46,Janet,Doesn't Really Matter,3,43.0
47,Janet,Doesn't Really Matter,4,30.0
48,Janet,Doesn't Really Matter,5,29.0
49,Janet,Doesn't Really Matter,6,22.0
50,Janet,Doesn't Really Matter,7,15.0
51,Janet,Doesn't Really Matter,8,10.0
52,Janet,Doesn't Really Matter,9,10.0
53,Janet,Doesn't Really Matter,10,5.0
54,Destiny's Child,Say My Name,2,83.0
55,Destiny's Child,Say My Name,3,44.0
56,Destiny's Child,Say My Name,4,38.0
57,Destiny's Child,Say My Name,5,16.0
58,Destiny's Child,Say My Name,6,13.0
59,Destiny's Child,Say My Name,7,16.0
60,Destiny's Child,Say My Name,8,16.0
61,Destiny's Child,Say My Name,9,16.0
62,Destiny's Child,Say My Name,10,18.0
63,"Iglesias, Enrique",Be With You,2,45.0
64,"Iglesias, Enrique",Be With You,3,34.0
65,"Iglesias, Enrique",Be With You,4,23.0
66,"Iglesias, Enrique",Be With You,5,17.0
67,"Iglesias, Enrique",Be With You,6,12.0
68,"Iglesias, Enrique",Be With You,7,9.0
69,"Iglesias, Enrique",Be With You,8,8.0
70,"Iglesias, Enrique",Be With You,9,8.0
71,"Iglesias, Enrique",Be With You,10,6.0
72,Sisqo,Incomplete,2,66.0
73,Sisqo,Incomplete,3,61.0
74,Sisqo,Incomplete,4,61.0
75,Sisqo,Incomplete,5,61.0
76,Sisqo,Incomplete,6,55.0
77,Sisqo,Incomplete,7,2.0
78,Sisqo,Incomplete,8,1.0
79,Sisqo,Incomplete,9,1.0
80,Sisqo,Incomplete,10,2.0
81,Lonestar,Amazed,2,54.0
82,Lonestar,Amazed,3,44.0
83,Lonestar,Amazed,4,39.0
